OverallQual,GrLivArea,SalePrice
7,1710,208500
6,1262,181500
7,1786,223500
7,1717,140000
8,2198,250000
5,1362,143000
8,1694,307000
7,2090,200000
7,1774,129900
5,1077,118000
5,1040,129500
9,2324,345000
5,912,144000
7,1494,279500
6,1253,157000
7,854,132000
6,1004,149000
4,1296,90000
5,1114,159000
5,1339,139000
8,2376,325300
7,1108,139400
8,1795,230000
5,1060,129900
5,1060,154000
8,1600,256300
5,900,134800
8,1704,306000
5,1600,207500
4,520,68500
4,1317,40000
5,1228,149350
8,1234,179900
5,1700,165500
9,1561,277500
8,2452,309000
5,1097,145000
5,1297,153000
5,1057,109000
4,1152,82000
6,1324,160000
5,1328,170000
5,884,144000
5,938,130250
5,1150,141000
9,1752,319900
7,2149,239686
8,1656,249700
4,1452,113000
5,955,127000
6,1470,177000
6,1176,114500
5,816,110000
9,1842,385000
5,1360,130000
6,1425,180500
8,1739,172500
7,1720,196500
10,2945,438780
5,780,124900
6,1158,158000
5,1111,101000
8,1370,202500
7,1710,140000
7,2034,219500
8,2473,317000
7,2207,180000
7,1479,226000
4,747,80000
7,2287,225000
7,2223,244000
4,845,129500
7,1718,185000
5,1086,144900
3,1605,107400
4,988,91000
4,952,135750
5,1285,127000
4,1768,136500
5,1230,110000
6,2142,193500
6,1337,153500
8,1563,245000
5,1065,126500
7,1474,168500
8,2417,260000
6,1560,174000
6,1224,164500
3,1526,85000
4,990,123600
4,1040,109900
5,1235,98600
5,964,163500
6,2291,133900
6,1786,204750
6,1470,185000
7,1588,214000
4,960,94750
5,835,83000
4,1225,128950
6,1610,205000
6,1732,178000
5,1535,118964
7,1226,198900
7,1818,169500
8,1992,250000
4,1047,100000
5,789,115000
5,1517,115000
6,1844,190000
6,1855,136900
7,1430,180000
7,2696,383970
6,2259,217000
6,2320,259500
6,1458,176000
5,1092,139000
5,1125,155000
7,3222,320000
6,1456,163990
6,988,180000
4,1123,100000
6,1080,136000
6,1199,153900
6,1586,181000
6,754,84500
6,958,128000
5,840,87000
6,1348,155000
5,1053,150000
7,2157,226000
6,2054,244000
5,1327,150750
8,1296,220000
5,1721,180000
7,1682,174000
5,1214,143000
7,1959,171000
8,1852,230000
6,1764,231500
4,864,115000
7,1734,260000
5,1385,166000
7,1501,204000
5,1728,125000
6,1709,130000
5,875,105000
7,2035,222500
7,1080,141000
5,1344,115000
5,969,122000
8,1710,372402
6,1993,190000
6,1252,235000
6,1200,125000
6,1096,79000
5,1040,109500
8,1968,269500
7,1947,254900
7,2462,320000
6,1232,162500
9,2668,412500
7,1541,220000
4,882,103200
6,1616,152000
5,1355,127500
5,1867,190000
8,2161,325624
7,1720,183500
8,1707,228000
5,1382,128500
6,1656,215000
7,1767,239000
6,1362,163000
6,1651,184000
6,2158,243000
6,2060,211000
5,1920,172500
9,2234,501837
5,968,100000
6,1525,177000
7,1802,200100
5,1340,120000
7,2082,200000
5,1252,127000
10,3608,475000
7,1217,173000
5,1656,135000
5,1224,153337
8,1593,286000
8,2727,315000
7,1479,184000
7,1431,192000
7,1709,130000
5,864,127000
6,1456,148500
7,1726,311872
8,3112,235000
6,2229,104000
8,1713,274900
4,1121,140000
6,1279,171500
6,1310,112000
6,848,149000
5,1284,110000
